firstName, lastName, name, DOB, sex, senior, primary, email, urlImage, famID, hashword
Peter, Burns, Peter,1/1/1921,m,true,false,Peter.Burns@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Samuel,Adams,Samuel,9/9/1923,m,false,false,Samuel.Adams@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Richard,Boomsma,Richard,7/18/1924,m,false,false,Richard.Boomsma@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Tom, Burns,Tom,12/25/1943,m,false,false,Tom.Burns@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Victoria,Poller,Victoria,10/8/1975,f,false,true,Victoria.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Frank,West,Frank,5/23/1923,m,false,false,Frank.West@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Josephine,West,Josephine,6/22/1928,f,false,false,Josephine.West@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Kurt,Poller,Kurt,8/12/1959,m,false,false,Kurt.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Julie,Poller,Julie,2/20/1961,f,false,false,Julie.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Billy,Poller,Billy,10/28/1979,m,false,false,Billy.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Mark,Poller,Mark,7/10/1999,m,false,false,Mark.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Alice,Poller,Alice,9/24/2000,f,false,false,Alice.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Helen,Burns,Helen,3/14/1950,f,false,false,Helen.Burns@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Natalie,Poller,Natalie,11/30/1980,f,false,false,Natalie.Poller@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
Sarah,Burns,Sarah,5/20/1925,f,true,false,Sarah.Burns@kin-keepers.ai,https://kk-family-circle.herokuapp.com/gray-silhouette.png,abcd1234,ae09bdfd0e1ed44d101508c51bc0c7c4e14a18215633f51c5ec22f4c93d502911ecda3ce2d7e303e9400698a5f5f6aa17a1e8368cdc2ce6dbd219d7c36326b86
